2023-10-30 01:03:37: [200811][0768593121][1|2291|3419]  HOẠT LỰC :180 | TINH LỰC :180| BẠC :666392| BẠC KHÓA :398982| ĐỒNG  :100| ĐỒNG KHÓA :2062
2023-10-30 01:07:05: [200255][BaVuongKT][5|5619|2329]  HOẠT LỰC :2740 | TINH LỰC :240| BẠC :1716565| BẠC KHÓA :502070| ĐỒNG  :0| ĐỒNG KHÓA :43465
2023-10-30 01:07:32: [206224][HaoKiemxx][5|5237|2910]  HOẠT LỰC :120 | TINH LỰC :120| BẠC :700| BẠC KHÓA :11398| ĐỒNG  :0| ĐỒNG KHÓA :125
2023-10-30 01:15:00: [200178][1DaoDoAtMang][111|10286|4330]  HOẠT LỰC :44615 | TINH LỰC :44635| BẠC :345950| BẠC KHÓA :737433| ĐỒNG  :4370| ĐỒNG KHÓA :5435
2023-10-30 01:15:18: [206028][bachtruong][73|5127|5594]  HOẠT LỰC :0 | TINH LỰC :2000| BẠC :1500| BẠC KHÓA :305373| ĐỒNG  :0| ĐỒNG KHÓA :3460
2023-10-30 01:22:00: [204327][Zcaychay1][23|5322|5537]  HOẠT LỰC :120 | TINH LỰC :120| BẠC :115682| BẠC KHÓA :191343| ĐỒNG  :0| ĐỒNG KHÓA :4025
2023-10-30 01:23:26: [206415][xvxcvxcvx][23|6485|3645]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :40313| ĐỒNG  :0| ĐỒNG KHÓA :1100
2023-10-30 01:23:26: [203158][ChiNhuoc][107|7030|4229]  HOẠT LỰC :500 | TINH LỰC :0| BẠC :0| BẠC KHÓA :78570| ĐỒNG  :0| ĐỒNG KHÓA :1660
2023-10-30 01:23:27: [203148][TLThanhLong][107|9491|4887]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :218066| ĐỒNG  :0| ĐỒNG KHÓA :785
2023-10-30 01:23:28: [203157][TieuVy][107|6898|4433]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :122378| ĐỒNG  :0| ĐỒNG KHÓA :2080
2023-10-30 01:23:28: [200031][SoryBaby][107|6618|4422]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :123499| ĐỒNG  :0| ĐỒNG KHÓA :2125
2023-10-30 01:23:29: [203149][VoKyfake][107|6882|4253]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :10410| ĐỒNG  :0| ĐỒNG KHÓA :2460
2023-10-30 01:24:01: [201393][BoSsDeVill][38|2219|4519]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :500| BẠC KHÓA :102157| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-30 01:24:19: [204671][Zcaychay4][23|8212|3937]  HOẠT LỰC :120 | TINH LỰC :120| BẠC :51200| BẠC KHÓA :598521| ĐỒNG  :0| ĐỒNG KHÓA :4425
2023-10-30 01:28:36: [200146][BasDao][113|2227|2322]  HOẠT LỰC :2580 | TINH LỰC :2580| BẠC :137100| BẠC KHÓA :782800| ĐỒNG  :0| ĐỒNG KHÓA :5175
