2023-10-29 01:48:13: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10401_nam100n87 dstPlayer=203864 in=10127:2 out= map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:48:24: [TRADE] server=1 source=7997_testtdc05 srcPlayer=203413 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:116200 map=23 sviplevel=0 tviplevel=0 sexp=116.97.60.206 texp=171.242.16.82 friendDegree=0
2023-10-29 01:48:30: [TRADE] server=1 source=10404_nam100n88 srcPlayer=203866 target=10406_nam100n85 dstPlayer=203742 in= out=10307:1,10127:1 map=5 sviplevel=0 tviplevel=0 sexp=171.239.214.58 texp=103.138.109.217 friendDegree=0
2023-10-29 01:48:43: [TRADE] server=1 source=7998_testtdc06 srcPlayer=203416 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=116.107.19.110 texp=171.242.16.82 friendDegree=0
2023-10-29 01:48:50: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10402_nam100n89 dstPlayer=203865 in=10127:1,10307:1 out= map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:48:53: [TRADE] server=1 source=7999_testtdc07 srcPlayer=203434 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:181200 map=23 sviplevel=0 tviplevel=0 sexp=171.233.17.118 texp=171.242.16.82 friendDegree=0
2023-10-29 01:49:34: [TRADE] server=1 source=7984_testtdc03 srcPlayer=203411 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:116200 map=23 sviplevel=0 tviplevel=0 sexp=171.233.16.77 texp=171.242.16.82 friendDegree=0
2023-10-29 01:50:18: [TRADE] server=1 source=8003_testtdc11 srcPlayer=203439 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:181200 map=23 sviplevel=0 tviplevel=0 sexp=171.245.96.78 texp=171.242.16.82 friendDegree=0
2023-10-29 01:51:50: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10403_nam100n80 dstPlayer=203955 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=171.239.214.58 friendDegree=0
2023-10-29 01:51:57: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10408_nam100n82 dstPlayer=203954 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
